"","Column1","Dnum","Country","State","County","Age","Formation","Stage","Age_Date","AmmoniteZone","LocDescr","Resume_of_Fauna","IndexFossil","Collector","Date","EandR","Map","USGS7.5","Lat_Pub","Long_Pub","Reference","Comments","last_modified","Orig_Resume_Fauna","FieldNum","FormationNew","species"
"201",765,3462,"USA","CO","Huerfano","Cretaceous","Pierre Shale above Apache sanstone member.","",NA,"","North of N. Apache Creek on W facing hill in SE1/4 sec. 30, T. 25 S., R. 67 W.","Baculites, Inoceramus","","G.R. Scott","9/15/1961","0","Walsenburg 1:125,000  ","",37.84122,-104.92717,"","","02/18/2014","Baculites, Inoceramus","","Apache","Inoceramus"
"211",766,3463,"USA","CO","Huerfano","Cretaceous","Pierre Shale above Apache sanstone member.","",NA,"","SE1/4 sec. 30, T. 25 S., R. 67 W.","Baculites, Pteria","","G.R. Scott","9/15/1961","0","Walseneurg 1:125,000  ","",37.84122,-104.92717,"","","02/18/2014","Baculites, Pteria","","Apache","Baculites"
"212",766,3463,"USA","CO","Huerfano","Cretaceous","Pierre Shale above Apache sanstone member.","",NA,"","SE1/4 sec. 30, T. 25 S., R. 67 W.","Baculites, Pteria","","G.R. Scott","9/15/1961","0","Walseneurg 1:125,000  ","",37.84122,-104.92717,"","","02/18/2014","Baculites, Pteria","","Apache","Pteria"
"22",771,4861,"USA","CO","Fremont","Cretaceous","Pierre Shale, 112' above top of Apache sandstone Member.","",NA,"","North Apache Creek, on west race of hill in SE¼ sec. 30, T. 25S., R. 67W. North Apache Creek section","Pteria, Baculites","","Gill & others","06/03/1965","","Walsenburg","",38.4507,-104.92751,"","","02/18/2014","Pteria, Baculites","","Apache","Pteria"
"221",771,4861,"USA","CO","Fremont","Cretaceous","Pierre Shale, 112' above top of Apache sandstone Member.","",NA,"","North Apache Creek, on west race of hill in SE¼ sec. 30, T. 25S., R. 67W. North Apache Creek section","Pteria, Baculites","","Gill & others","06/03/1965","","Walsenburg","",38.4507,-104.92751,"","","02/18/2014","Pteria, Baculites","","Apache","Baculites"
"23",772,4862,"USA","CO","Fremont","Cretaceous","Pierre Shale, 136' above top of Apache sandstone Member.","",NA,"","North Apache Creek, on west race of hill in SE¼ sec. 30, T. 25S., R. 67W. North Apache Creek section","Baculites","","Scott, Burkholder","06/03/1965","","Walsenburg","",38.4507,-104.92751,"","","02/18/2014","Baculites","","Apache","Baculites"
"24",776,4859,"USA","CO","Fremont","Cretaceous","Pierre Shale, 72-92' above top of Apache sandstone Member.","",NA,"","North Apache Creek, on west race of hill in SE¼ sec. 30, T. 25S., R. 67W. North Apache Creek section","Baculites","","Gill & others","06/03/1965","","Walsenburg","",38.4507,-104.92751,"","","02/18/2014","Baculites","","Apache","Baculites"
"25",787,4853,"USA","CO","Fremont","Cretaceous","Pierre Shale, Apache Sandy Member","Campanian, Middle  80.04 MY",NA,"","Four miles east of canon city, a little north of Highway 50, SE¼NE¼SE¼ sec. 25, T.18S, R.70W.","Baculites obtusus","","W.A. Cobban","4/23/1965","","Canon City ","",38.4512,-105.16417,"","","02/18/2014","Baculites obtusus","","Apache","Baculites obtusus"
"26",788,4864,"USA","CO","Custer","Cretaceous","Pierre Shale, float from about 90' below top of Apache Creek sandstone Mbr.","Campanian, Middle  80.04 MY",NA,"","NW¼NE¼ sec. 13, T.21 N., R. 69 W","Inoceramus, Baculites obtusus","","W.A. Cobban","06/03/1965","","","",41.79762,-105.0672,"","","02/18/2014","Inoceramus, Baculites obtusus","","Apache","Inoceramus"
"261",788,4864,"USA","CO","Custer","Cretaceous","Pierre Shale, float from about 90' below top of Apache Creek sandstone Mbr.","Campanian, Middle  80.04 MY",NA,"","NW¼NE¼ sec. 13, T.21 N., R. 69 W","Inoceramus, Baculites obtusus","","W.A. Cobban","06/03/1965","","","",41.79762,-105.0672,"","","02/18/2014","Inoceramus, Baculites obtusus","","Apache","Baculites obtusus"
"27",793,4858,"USA","CO","Fremont","Cretaceous","Pierre Shale, from a ferruginous layer 61' above Apache sandstone Member","",NA,"","North Apache Creek, on west race of hill in SE¼ sec. 30, T. 25S., R. 67W. North Apache Creek section","Inoceramus, Baculites","","Gill, Scott, Butkholder","06/03/1965","","Walsenburg","",38.4507,-104.92751,"","","02/18/2014","Inoceramus, Baculites","","Apache","Inoceramus"
"271",793,4858,"USA","CO","Fremont","Cretaceous","Pierre Shale, from a ferruginous layer 61' above Apache sandstone Member","",NA,"","North Apache Creek, on west race of hill in SE¼ sec. 30, T. 25S., R. 67W. North Apache Creek section","Inoceramus, Baculites","","Gill, Scott, Butkholder","06/03/1965","","Walsenburg","",38.4507,-104.92751,"","","02/18/2014","Inoceramus, Baculites","","Apache","Baculites"
"28",797,4857,"USA","CO","Fremont","Cretaceous","Pierre Shale, from an ironstone about 50' above top of Apache sandstone","",NA,"","North Apache Creek, on west race of hill in SE¼ sec. 30, T. 25S., R. 67W. North Apache Creek section","Scaphites (Hoploscaphites)","","J. R. Gill ","06/03/1965","","Walsenburg","",38.4507,-104.92751,"","","02/18/2014","Scaphites (Hoploscaphites)","","Apache","Scaphites "
"29",835,13613,"USA","CO","Pueblo","Upper Cretaceous","Pierre Shale, from orange-yellow ls. Concretions near top of Apache Creek Silty Member","Campanian, Middle  80.04 MY",NA,"","Steele Hollow in area between the railroad tracks C E1/2SE1/4 sec. 12, T. 19 S., R. 65 W.","Baculites obtusus","Baculites obtusus","Cobban","1994","0","Pinon  ","",38.40728,-104.61052,"","","02/18/2014","Baculites obtusus","","Apache","Baculites obtusus"
"30",839,13602,"USA","CO","Pueblo","Upper Cretaceous","Pierre Shale, from prominent, closely spaced, orange-yellow-weathering limestone concretions near top of Apache Creek Sandy Member","Campanian, Middle  80.04 MY",NA,"","Scraped area E1/2NE1/4NW1/4 sec. 12, T. 20 S., R. 65 W.","Baculites obtusus","","Cobban","10/14/1994","0","Northwest Pueblo  ","",38.32908,-104.6192,"","","02/18/2014","Baculites obtusus","","Apache","Baculites obtusus"
"31",846,13595,"USA","CO","Pueblo","Upper Cretaceous","Pierre Shale, from small tan siltstone concretions near top of Apache Creek Sandy Member","Campanian, Middle  80.04 MY",NA,"","Along road in north part of SW1/4 sec. 1, T. 20 S., R. 65 W.","Baculites obtusus","","Cobban","10/14/1994","0","Northwest Pueblo  ","",38.33638,-104.61928,"","","02/18/2014","Baculites obtusus","","Apache","Baculites obtusus"
"32",851,1286,"USA","CO","Huerfano","Cretaceous","Pierre shale, from tepee limestone 25' below Apache sandstone member.","",NA,"","1.5 miles southwest of Badito, in E½ sec. 7, T. 27 S., 68 W.","Baculites","","W. A. Cobban","5/25/1956","0","","",37.71663,-105.03708,"","","02/18/2014","Baculites","","Apache","Baculites"
"33",854,13603,"USA","CO","Pueblo","Upper Cretaceous","Pierre Shale, from uppermost part of Apache Ss Mbr-from a few feet of sandy beds overlying the prominent orange-yellow ls. Concretion bed","",NA,"","Scraped area E1/2NE1/4NW1/4 sec. 12, T. 20 S., R. 65 W.","Baculites","","Cobban","10/14/1994","0","Northwest Pueblo  ","",38.32908,-104.6192,"","","02/18/2014","Baculites","","Apache","Baculites"
"34",1066,13609,"USA","CO","Pueblo","Upper Cretaceous","Uppermost 6' of Apache Creek Sandy Mbr","Campanian, Middle  80.04 MY",NA,"","Old scrapad area just south of Platteville Boulevard NE1/4NW1/4SW1/4 sec. 1, T. 20 S., R. 65 W.","Baculites obtusus","","Cobban","03/10/1995","0","Northwest Pueblo  ","",38.33729,-104.62316,"","","02/18/2014","Baculites obtusus","","Apache","Baculites obtusus"
