Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date,EandR,Map,USGS7.5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum
2969,USA,CO,Huerfano,Cretaceous,From gray ls concrs. 2' below base of Apache sandstone,,,,"SE1/4 sec. 8, T. 27 S., R. 68W.",Baculites,,W. A. Cobban,5/25/1961,0,,,37.71225,-105.0192,,,02/18/2014,Baculites,
4280,USA,MT,Yellowstone,Upper Cretaceous,"From gray silty limestone concretion in ridge - forming sandy unit, 43 feet above base of Telegraph Creek Formation",Campanian,,,"East side of gully W1/2 SW1/4 sec. 5, T. 2 S., R. 29 E. .","Inoceramus cf. I. patootensis de Loriol, Pteria sp., Ostrea sp.,  Baculites haresi Reeside, Haresiceras mancosense",Desmoscaphites bassleri,"Gill, Burkholder, Cobban",9/11/1963,,,,45.6815,-108.1693,PP 619,,02/18/2014,"Inoceramus cf. I. Patootensis de Loriol, Pteria sp., Ostrea sp.,  Baculites haresi Reeside, Haresiceras mancosense",
3248,USA,WY,Natrona,Cretaceous,From ironstone concretions in Steele Shale about 100 feet below Shannon Sandstone.,Campanian,,,"SE1/4SE1/4 sec. 7, T. 39 N., R. 78 W.","Inoceramus sp., Baculites sp.",,J. G. Gill and L. G. Schultz,9/18/1960,0,Edgerton,,47.33586,-106.25462,,,02/18/2014,"Inoceramus sp., Baculites sp.",
3202,USA,WY,Natrona,Cretaceous,From ironstone in Steele Shale 440 feet above Fishtooth sandstone.,"Campanian, Lower about 80.5 MY",,,"N1/2 sec. 34, T. 40 N., R. 79 W.",Baculites sp. (weak flank ribs),,J. G. Gill,8/10/61; 1960,0,Midwest,,43.39521,-106.32127,,,02/18/2014,Baculites sp. (weak flank ribs),
4731,USA,WY,Fremont,Cretaceous,From large brown sandy limestone concretions in upper part of Cody shale.,Campanian,,,"NE¼SW¼NE¼ sec.23, T. 34 N., R. 91 W.","Ostrea resselli Landes, Baculites sp.",,Gill & Cobban,9/16/1964,OF-64-15D,,,42.90784,-107.7037,,,02/18/2014,"Ostrea resselli Landes, Baculites sp.",
3004,USA,CO,Custer,Cretaceous,From large gray septarian ls. concrs. at top of main buttress at Sharon Springs member of Pierre shale ,Campanian,,,"About 1/2 miles southwest of switchback on State Route 96, 1 1/2 miles east of Wetmore in SW1/4 sec. 12, T. 21 S., R. 69 W.","Inoceramus, Baculites ",,W. A. Cobban,6/14/1961,0,,Wetmore,38.2384,-105.0542,Buelah NE,,02/18/2014,"Inoceramus, Baculites ",
2513,USA,UT,Grand,Upper Cretaceous,From lengthy  brown-weathering calcareous concretion in upper part of Mancos shale.,"Campanian, Lower. about 80.9 MY",,,"About 1/2 mile northeast of Thompson NW1/4NE1/4NE1/4 sec. 21, T. 21 S., R. 20 E.UT.","Inoceramus sp., Baculites aquilaensis Reeside, Baculites smooth form, Scaphites hippocrepis (DeKay)",Scaphites hippocrepis,"A. D. Zapp, W. A. Cobban",5/11/1960,F-60-11D,,,38.9768,-109.7073,PP 619,,02/18/2014,"Inoceramus sp., Baculites aquilaensis Reeside, Baculites smooth form, Scaphites hippocrepis (DeKay)",
3289,USA,WY,Carbon,Cretaceous,"From limestone concrectionary zone 1,028 feet below top of Steele Shale.",Campanian,,,"NW1/4 sec . 25, T. 19 N., R. 87 W.","Inoceramus cf. I. Proximus Tuomey, Baculites sp.",,J. H. Smith ,1961,0,,,41.59534,-107.14719,,,02/18/2014,"Inoceramus cf. I. Proximus Tuomey, Baculites sp.",
3288,USA,WY,Carbon,Cretaceous,"From limestone concrectionary zone 1,100 feet below top of Steele Shale.",Campanian,,,"Center of sec . 25, T. 19 N., R. 87 W.","Inoceramus sp., Baculites aff. B. aquilaensis Reeside,",,J. H. Smith ,1961,0,,,41.59152,-107.1419,,,02/18/2014,"Inoceramus sp., Baculites aff. B. aquilaensis Reeside,",
3291,USA,WY,Carbon,Cretaceous,"From limestone concrectionary zone 1,736 feet below top of Steele Shale.",Campanian,,,"NE1/4 sec . 26, T. 19 N., R. 87 W.","Baculites aff. B. aquilaensis Reeside, Lucina subundata Hall  and Meek",,J. H. Smith ,1961,0,,,41.59602,-107.15639,PP 667,,02/18/2014,Baculites aff. B. aquilaensis Reeside.,
3294,USA,WY,Carbon,Cretaceous,"From limestone concrectionary zone 1,879 feet below top of Steele Shale.",Campanian,,,"SW1/4 sec . 23, T. 19 N., R. 87 W.","Inoceramus cf. I. Proximus Tuomey, Lucina sp., Baculites aff. B. aquilaensis Reeside.",,J. H. Smith ,1961,0,,,41.60272,-107.11621,,,02/18/2014,"Inoceramus cf. I. Proximus Tuomey, Lucina sp., Baculites aff. B. aquilaensis Reeside.",
3434,USA,WY,Johnson,Cretaceous,From limestone concretion in bentonite 730 feet below top of Cody Shale,Campanian,,,"N1/2 sec. 13, T. 49 N., R. 83 W.",Hoploscaphites n. sp,,J. R. Gill,7/23/1961,0,,,44.22024,-106.79118,,,02/18/2014,Hoploscaphites n. sp,
1793,USA,WY,Larimer,Cretaceous,From limestone concretions 12' above another similar bed near top of Niobrara fm.,Campanian,,,"Near top of hill north of U.S. 85 A 2.4 miles from State line in NE1/4 NW1/4 sec. 32, T. 39 N., R. 60 W., Niobrara Co., Wyo.",Baculites,Lopha sannionis,W. A. Cobban,8/7/1958,,,Carter Lake Reservoir,40.3303,-105.1261,,,02/18/2014,Baculites,
3272,USA,MT,Blaine,Cretaceous,From limestone concretions in shale near top of Eagle Sandstone.,"Campanian, Middle  80.04 MY",,,"SE1/4NW1/4 sec . 31, T. 23 N., R. 17 E.",Baculites obtusus Meek.,Baculites obtusus,J. G. Gill,1961,0,,,47.72323,-109.60074,,,02/18/2014,Baculites obtusus Meek.,
3372,USA,WY,Carbon,Cretaceous,From limestone concretions in Steele - Mesaverde transition,Campanian,,,"SW1/4 NW1/4 NE1/4 sec. 18, T. 21 N., R. 78 W.","Inoceramus subcompressus Meek & Hayden, Baculites gilberti Cobban",,A. D. Zapp,9/10/1961,"OF-61-3D, 5D",,,41.79572,-106.21782,,,02/18/2014,"Inoceramus subcompressus Meek & Hayden, Baculites gilberti Cobban",
2327,USA,NE,Jefferson,Cretaceous,From limestone concretions just beneath Ardmore bentonite bed.,,,,"East line of quadrangle, just north of center of sec. 5, T. 2 S., R. 70 W.",Baculites ,,J. R. Gill,1959,,,,43.022,-103.6759,,,02/18/2014,Baculites ,
2126,USA,UT,Carbon,Cretaceous,From limy zone in Mancos shale about 200 feet below base of Panther tongue of Star Point sandstone,Campanian,,,"NW1/4 NE1/4  sec. 22, T. 13 S., R. 10 E.","Baculites thomi Reeside, Baculites cf. B.asper Morton",Baculites thomi,A. D. Zapp,5/23/1959,"F-59-11D, 18D",,,39.6862,-110.7669,,,02/18/2014,"Baculites thomi Reeside, Baculites cf. B.asper Morton",
2510,USA,UT,Carbon,Cretaceous,From low ridge of siltstone about 300 feet below base of Panther tongue of Star Point sandstone.,Campanian,,,"One mile east of Kenilworth NW1/4NE1/4 sec. 22, T. 13 S., R. 10 E. Same locality as D2126.",Baculites cf. B. aquilaensis Reeside,,W. A. Cobban,5/10/1960,0,,,39.68613,-110.78599,,,02/18/2014,Baculites cf. B. aquilaensis Reeside,
